child,parent_1,parent_2,parent_3
GEN=1_MEMBER=0_DE,GEN=0_TRAINING=28,GEN=0_TRAINING=24,GEN=0_TRAINING=6,GEN=0_TRAINING=22
GEN=1_MEMBER=1_DE,GEN=0_TRAINING=14,GEN=0_TRAINING=15,GEN=0_TRAINING=28,GEN=0_TRAINING=24
GEN=1_MEMBER=2_DE,GEN=0_TRAINING=17,GEN=0_TRAINING=29,GEN=0_TRAINING=28,GEN=0_TRAINING=24
GEN=1_MEMBER=3_DE,GEN=0_TRAINING=26,GEN=0_TRAINING=17,GEN=0_TRAINING=29,GEN=0_TRAINING=23
GEN=1_MEMBER=4_PSO,GEN=0_TRAINING=8,,
GEN=1_MEMBER=5_PSO,GEN=0_TRAINING=26,,
GEN=1_MEMBER=6_PSO,GEN=0_TRAINING=17,,
GEN=1_MEMBER=7_PSO,GEN=0_TRAINING=14,,
GEN=1_MEMBER=8_PSO,GEN=0_TRAINING=16,,
GEN=1_MEMBER=9_PSO,GEN=0_TRAINING=15,,
GEN=1_MEMBER=10_PSO,GEN=0_TRAINING=29,,
GEN=1_MEMBER=11_PSO,GEN=0_TRAINING=28,,
GEN=1_MEMBER=12_PSO,GEN=0_TRAINING=24,,
GEN=1_MEMBER=13_PSO,GEN=0_TRAINING=27,,
GEN=1_MEMBER=14_PSO,GEN=0_TRAINING=23,,
GEN=1_MEMBER=15_PSO,GEN=0_TRAINING=11,,
GEN=1_MEMBER=16_PSO,GEN=0_TRAINING=5,,
GEN=1_MEMBER=17_PSO,GEN=0_TRAINING=6,,
GEN=1_MEMBER=18_PSO,GEN=0_TRAINING=22,,
GEN=1_MEMBER=19_PSO,GEN=0_TRAINING=0,,
GEN=1_MEMBER=20_PSO,GEN=0_TRAINING=20,,
GEN=1_MEMBER=21_PSO,GEN=0_TRAINING=3,,
GEN=1_MEMBER=22_PSO,GEN=0_TRAINING=12,,
GEN=1_MEMBER=23_PSO,GEN=0_TRAINING=1,,
GEN=1_MEMBER=24_PSO,GEN=0_TRAINING=2,,
GEN=1_MEMBER=25_PSO,GEN=0_TRAINING=18,,
GEN=1_MEMBER=26_PSO,GEN=0_TRAINING=7,,
GEN=1_MEMBER=27_PSO,GEN=0_TRAINING=10,,
GEN=1_MEMBER=28_PSO,GEN=0_TRAINING=4,,
GEN=1_MEMBER=29_PSO,GEN=0_TRAINING=9,,
GEN=1_MEMBER=30_PSO,GEN=1_MEMBER=0_DE,,
GEN=1_MEMBER=31_PSO,GEN=1_MEMBER=1_DE,,
GEN=1_MEMBER=32_PSO,GEN=1_MEMBER=2_DE,,
GEN=1_MEMBER=33_PSO,GEN=1_MEMBER=3_DE,,
GEN=2_MEMBER=34_PSO,GEN=1_MEMBER=23_PSO,,
GEN=2_MEMBER=35_PSO,GEN=1_MEMBER=16_PSO,,
GEN=2_MEMBER=36_PSO,GEN=0_TRAINING=8,,
GEN=2_MEMBER=37_PSO,GEN=0_TRAINING=26,,
GEN=2_MEMBER=38_PSO,GEN=0_TRAINING=17,,
GEN=2_MEMBER=39_PSO,GEN=1_MEMBER=21_PSO,,
GEN=2_MEMBER=40_PSO,GEN=0_TRAINING=14,,
GEN=2_MEMBER=41_PSO,GEN=1_MEMBER=7_PSO,,
GEN=2_MEMBER=42_PSO,GEN=1_MEMBER=32_PSO,,
GEN=2_MEMBER=43_PSO,GEN=1_MEMBER=31_PSO,,
GEN=2_MEMBER=44_PSO,GEN=1_MEMBER=24_PSO,,
GEN=2_MEMBER=45_PSO,GEN=0_TRAINING=16,,
GEN=2_MEMBER=46_PSO,GEN=0_TRAINING=15,,
GEN=2_MEMBER=47_PSO,GEN=1_MEMBER=4_PSO,,
GEN=2_MEMBER=48_PSO,GEN=1_MEMBER=33_PSO,,
GEN=2_MEMBER=49_PSO,GEN=1_MEMBER=19_PSO,,
GEN=2_MEMBER=50_PSO,GEN=1_MEMBER=6_PSO,,
GEN=2_MEMBER=51_PSO,GEN=1_MEMBER=5_PSO,,
GEN=2_MEMBER=52_PSO,GEN=1_MEMBER=26_PSO,,
GEN=2_MEMBER=53_PSO,GEN=1_MEMBER=25_PSO,,
GEN=2_MEMBER=54_PSO,GEN=1_MEMBER=30_PSO,,
GEN=2_MEMBER=55_PSO,GEN=1_MEMBER=13_PSO,,
GEN=2_MEMBER=56_PSO,GEN=1_MEMBER=12_PSO,,
GEN=2_MEMBER=57_PSO,GEN=1_MEMBER=27_PSO,,
GEN=2_MEMBER=58_PSO,GEN=0_TRAINING=29,,
GEN=2_MEMBER=59_PSO,GEN=1_MEMBER=28_PSO,,
GEN=2_MEMBER=60_PSO,GEN=1_MEMBER=18_PSO,,
GEN=2_MEMBER=61_PSO,GEN=0_TRAINING=28,,
GEN=2_MEMBER=62_PSO,GEN=0_TRAINING=27,,
GEN=2_MEMBER=63_PSO,GEN=0_TRAINING=24,,
GEN=3_MEMBER=64_PSO,GEN=2_MEMBER=59_PSO,,
GEN=3_MEMBER=65_PSO,GEN=1_MEMBER=23_PSO,,
GEN=3_MEMBER=66_PSO,GEN=1_MEMBER=16_PSO,,
GEN=3_MEMBER=67_PSO,GEN=0_TRAINING=8,,
GEN=3_MEMBER=68_PSO,GEN=0_TRAINING=26,,
GEN=3_MEMBER=69_PSO,GEN=1_MEMBER=21_PSO,,
GEN=3_MEMBER=70_PSO,GEN=0_TRAINING=17,,
GEN=3_MEMBER=71_PSO,GEN=0_TRAINING=14,,
GEN=3_MEMBER=72_PSO,GEN=2_MEMBER=46_PSO,,
GEN=3_MEMBER=73_PSO,GEN=2_MEMBER=60_PSO,,
GEN=3_MEMBER=74_PSO,GEN=1_MEMBER=7_PSO,,
GEN=3_MEMBER=75_PSO,GEN=2_MEMBER=54_PSO,,
GEN=3_MEMBER=76_PSO,GEN=2_MEMBER=52_PSO,,
GEN=3_MEMBER=77_PSO,GEN=2_MEMBER=47_PSO,,
GEN=3_MEMBER=78_PSO,GEN=1_MEMBER=32_PSO,,
GEN=3_MEMBER=79_PSO,GEN=1_MEMBER=31_PSO,,
GEN=3_MEMBER=80_PSO,GEN=1_MEMBER=24_PSO,,
GEN=3_MEMBER=81_PSO,GEN=0_TRAINING=15,,
GEN=3_MEMBER=82_PSO,GEN=2_MEMBER=63_PSO,,
GEN=3_MEMBER=83_PSO,GEN=2_MEMBER=40_PSO,,
GEN=3_MEMBER=84_PSO,GEN=1_MEMBER=33_PSO,,
GEN=3_MEMBER=85_PSO,GEN=1_MEMBER=19_PSO,,
GEN=3_MEMBER=86_PSO,GEN=2_MEMBER=48_PSO,,
GEN=3_MEMBER=87_PSO,GEN=1_MEMBER=6_PSO,,
GEN=3_MEMBER=88_PSO,GEN=1_MEMBER=26_PSO,,
GEN=3_MEMBER=89_PSO,GEN=0_TRAINING=16,,
GEN=3_MEMBER=90_PSO,GEN=1_MEMBER=5_PSO,,
