child,parent_1,parent_2,parent_3
GEN=21_MEMBER=0_PSO,GEN=7_MEMBER=209_PSO,,
GEN=21_MEMBER=1_PSO,GEN=20_MEMBER=601_PSO,,
GEN=21_MEMBER=2_PSO,GEN=20_MEMBER=584_PSO,,
GEN=21_MEMBER=3_PSO,GEN=19_MEMBER=565_PSO,,
GEN=21_MEMBER=4_PSO,GEN=19_MEMBER=556_PSO,,
GEN=21_MEMBER=5_PSO,GEN=19_MEMBER=549_PSO,,
GEN=21_MEMBER=6_PSO,GEN=18_MEMBER=527_PSO,,
GEN=21_MEMBER=7_PSO,GEN=17_MEMBER=511_PSO,,
GEN=21_MEMBER=8_PSO,GEN=17_MEMBER=504_PSO,,
GEN=21_MEMBER=9_PSO,GEN=17_MEMBER=491_PSO,,
GEN=21_MEMBER=10_PSO,GEN=16_MEMBER=483_PSO,,
GEN=21_MEMBER=11_PSO,GEN=16_MEMBER=479_PSO,,
GEN=21_MEMBER=12_PSO,GEN=12_MEMBER=335_PSO,,
GEN=21_MEMBER=13_PSO,GEN=11_MEMBER=331_PSO,,
GEN=21_MEMBER=14_PSO,GEN=10_MEMBER=275_PSO,,
GEN=21_MEMBER=15_PSO,GEN=8_MEMBER=237_PSO,,
GEN=21_MEMBER=16_PSO,GEN=20_MEMBER=577_PSO,,
GEN=21_MEMBER=17_PSO,GEN=15_MEMBER=436_PSO,,
GEN=21_MEMBER=18_PSO,GEN=14_MEMBER=411_PSO,,
GEN=21_MEMBER=19_PSO,GEN=14_MEMBER=395_PSO,,
GEN=21_MEMBER=20_PSO,GEN=13_MEMBER=386_PSO,,
GEN=21_MEMBER=21_PSO,GEN=13_MEMBER=373_PSO,,
GEN=21_MEMBER=22_PSO,GEN=10_MEMBER=290_PSO,,
GEN=21_MEMBER=23_PSO,GEN=5_MEMBER=149_PSO,,
GEN=21_MEMBER=24_PSO,GEN=14_MEMBER=420_PSO,,
GEN=21_MEMBER=25_PSO,GEN=7_MEMBER=191_PSO,,
GEN=21_MEMBER=26_PSO,GEN=19_MEMBER=560_PSO,,
GEN=21_MEMBER=27_PSO,GEN=18_MEMBER=517_PSO,,
GEN=21_MEMBER=28_PSO,GEN=20_MEMBER=582_PSO,,
GEN=21_MEMBER=29_PSO,GEN=18_MEMBER=518_PSO,,
GEN=22_MEMBER=30_PSO,GEN=7_MEMBER=209_PSO,,
GEN=22_MEMBER=31_PSO,GEN=21_MEMBER=27_PSO,,
GEN=22_MEMBER=32_PSO,GEN=20_MEMBER=584_PSO,,
GEN=22_MEMBER=33_PSO,GEN=19_MEMBER=565_PSO,,
GEN=22_MEMBER=34_PSO,GEN=19_MEMBER=556_PSO,,
GEN=22_MEMBER=35_PSO,GEN=19_MEMBER=549_PSO,,
GEN=22_MEMBER=36_PSO,GEN=18_MEMBER=527_PSO,,
GEN=22_MEMBER=37_PSO,GEN=17_MEMBER=511_PSO,,
GEN=22_MEMBER=38_PSO,GEN=17_MEMBER=504_PSO,,
GEN=22_MEMBER=39_PSO,GEN=17_MEMBER=491_PSO,,
GEN=22_MEMBER=40_PSO,GEN=16_MEMBER=483_PSO,,
GEN=22_MEMBER=41_PSO,GEN=16_MEMBER=479_PSO,,
GEN=22_MEMBER=42_PSO,GEN=12_MEMBER=335_PSO,,
GEN=22_MEMBER=43_PSO,GEN=11_MEMBER=331_PSO,,
GEN=22_MEMBER=44_PSO,GEN=10_MEMBER=275_PSO,,
GEN=22_MEMBER=45_PSO,GEN=8_MEMBER=237_PSO,,
GEN=22_MEMBER=46_PSO,GEN=20_MEMBER=601_PSO,,
GEN=22_MEMBER=47_PSO,GEN=20_MEMBER=577_PSO,,
GEN=22_MEMBER=48_PSO,GEN=15_MEMBER=436_PSO,,
GEN=22_MEMBER=49_PSO,GEN=14_MEMBER=411_PSO,,
GEN=22_MEMBER=50_PSO,GEN=14_MEMBER=395_PSO,,
GEN=22_MEMBER=51_PSO,GEN=13_MEMBER=386_PSO,,
GEN=22_MEMBER=52_PSO,GEN=13_MEMBER=373_PSO,,
GEN=22_MEMBER=53_PSO,GEN=10_MEMBER=290_PSO,,
GEN=22_MEMBER=54_PSO,GEN=5_MEMBER=149_PSO,,
GEN=22_MEMBER=55_PSO,GEN=14_MEMBER=420_PSO,,
GEN=22_MEMBER=56_PSO,GEN=21_MEMBER=20_PSO,,
GEN=22_MEMBER=57_PSO,GEN=7_MEMBER=191_PSO,,
GEN=22_MEMBER=58_PSO,GEN=21_MEMBER=19_PSO,,
GEN=22_MEMBER=59_PSO,GEN=21_MEMBER=15_PSO,,
